happy,comp,sex,age,edu,employ,rel_per,rel_den,social_class,people_trust
Not very happy,2,Female,29,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Quite happy,1,Female,50,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Female,35,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,5,Female,28,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,3,Male,29,Lower secondary education (ISCED 2),Full time (30 hours a week or more),An atheist,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Female,30,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,46,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,5,Male,26,Short-cycle tertiary education (ISCED 5),Part time (less than 30 hours a week),Not a religious person,Muslim,Upper class,Need to be very careful
Not very happy,10,Male,18,Bachelor or equivalent (ISCED 6),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,5,Male,41,Upper secondary education (ISCED 3),Retired/pensioned,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,5,Male,45,Bachelor or equivalent (ISCED 6),Self employed,Not a religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Male,21,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,10,Male,20,Primary education (ISCED 1),Unemployed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,7,Male,21,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Male,31,Post-secondary non-tertiary education (ISCED 4),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,6,Male,65,Lower secondary education (ISCED 2),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,7,Male,26,Doctoral or equivalent (ISCED 8),Full time (30 hours a week or more),A religious person,Muslim,Upper class,Need to be very careful
Quite happy,3,Male,65,Early childhood education (ISCED 0) / no education,Retired/pensioned,A religious person,Muslim,Working class,Need to be very careful
Very happy,8,Male,28,Upper secondary education (ISCED 3),Self employed,A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Male,19,Post-secondary non-tertiary education (ISCED 4),Student,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,30,Post-secondary non-tertiary education (ISCED 4),Self employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,26,Lower secondary education (ISCED 2),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,22,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Need to be very careful
Quite happy,1,Male,23,Upper secondary education (ISCED 3),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,35,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,33,Master or equivalent (ISCED 7),Self employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,35,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,2,Male,28,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,1,Male,26,Early childhood education (ISCED 0) / no education,Unemployed,A religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,1,Male,32,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,45,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Not a religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,2,Male,38,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,2,Male,50,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,2,Male,28,Lower secondary education (ISCED 2),Self employed,A religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,3,Male,45,Bachelor or equivalent (ISCED 6),Retired/pensioned,A religious person,Muslim,Working class,Most people can be trusted
Very happy,2,Male,55,Primary education (ISCED 1),Full time (30 hours a week or more),Not a religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,1,Female,28,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,5,Female,43,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,10,Female,40,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,48,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,30,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Female,36,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Female,30,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Female,33,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Female,30,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Don't know
Quite happy,10,Female,40,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Very happy,10,Male,42,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,1,Male,48,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,10,Male,20,Upper secondary education (ISCED 3),Student,A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Male,56,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Very happy,1,Male,48,Upper secondary education (ISCED 3),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,2,Male,38,Master or equivalent (ISCED 7),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,18,Post-secondary non-tertiary education (ISCED 4),Student,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,2,Male,32,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,2,Male,45,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Quite happy,10,Male,31,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,36,Primary education (ISCED 1),Self employed,A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,5,Male,70,Bachelor or equivalent (ISCED 6),Retired/pensioned,A religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,1,Male,68,Upper secondary education (ISCED 3),Retired/pensioned,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,29,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,10,Male,60,Post-secondary non-tertiary education (ISCED 4),Self employed,A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,1,Male,31,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Male,33,Upper secondary education (ISCED 3),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,30,Post-secondary non-tertiary education (ISCED 4),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Male,45,Primary education (ISCED 1),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,30,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Male,23,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Not very happy,6,Male,49,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,1,Male,45,Upper secondary education (ISCED 3),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,30,Upper secondary education (ISCED 3),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,40,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,22,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Male,34,Primary education (ISCED 1),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,35,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,6,Male,65,Early childhood education (ISCED 0) / no education,Unemployed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,8,Male,30,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,6,Male,33,Early childhood education (ISCED 0) / no education,Part time (less than 30 hours a week),A religious person,Muslim,Lower class,Need to be very careful
Quite happy,6,Male,38,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,1,Male,45,Upper secondary education (ISCED 3),Self employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,5,Male,39,Early childhood education (ISCED 0) / no education,Part time (less than 30 hours a week),A religious person,Muslim,Lower class,Don't know
Very happy,1,Male,38,Early childhood education (ISCED 0) / no education,Self employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,9,Male,42,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,9,Male,29,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,7,Male,49,Primary education (ISCED 1),Part time (less than 30 hours a week),A religious person,Muslim,Lower class,Need to be very careful
Quite happy,4,Female,30,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,10,Female,50,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Female,35,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Female,32,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Not very happy,1,Female,35,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,3,Female,40,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,1,Female,40,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,55,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Female,38,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Not very happy,1,Female,60,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,3,Male,32,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Male,30,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Male,30,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,8,Male,28,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,32,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Male,45,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Not a religious person,Muslim,Upper middle class,Need to be very careful
Not at all happy,1,Male,23,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,25,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,7,Male,25,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,28,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Male,49,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,3,Male,32,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,2,Male,20,Upper secondary education (ISCED 3),Student,A religious person,Muslim,Working class,Need to be very careful
Quite happy,9,Male,48,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,4,Male,19,Lower secondary education (ISCED 2),Student,A religious person,Muslim,Upper middle class,Most people can be trusted
Very happy,2,Male,30,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,5,Male,47,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,4,Male,21,Lower secondary education (ISCED 2),Unemployed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Male,20,Upper secondary education (ISCED 3),Student,A religious person,Muslim,Working class,Need to be very careful
Very happy,10,Male,30,Lower secondary education (ISCED 2),Self employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,4,Female,60,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Other,Working class,Need to be very careful
Very happy,5,Female,33,Primary education (ISCED 1),Homemaker not otherwise employed,Don't know,Other,Working class,Most people can be trusted
Not very happy,4,Female,24,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,5,Female,22,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),A religious person,Muslim,Working class,Need to be very careful
Quite happy,8,Female,29,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Female,25,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,4,Female,42,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,5,Female,54,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Very happy,3,Female,35,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,5,Female,36,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Quite happy,1,Male,53,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,63,Upper secondary education (ISCED 3),Retired/pensioned,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,31,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,20,Post-secondary non-tertiary education (ISCED 4),Student,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Male,43,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Other,Working class,Need to be very careful
Very happy,1,Male,60,Upper secondary education (ISCED 3),Retired/pensioned,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,50,Master or equivalent (ISCED 7),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,10,Male,39,Lower secondary education (ISCED 2),Self employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,1,Male,39,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,36,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,5,Female,25,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,7,Female,30,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Not a religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Female,22,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,2,Female,20,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Other,Lower middle class,Need to be very careful
Quite happy,5,Female,35,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,4,Female,45,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,7,Female,35,Lower secondary education (ISCED 2),Homemaker not otherwise employed,A religious person,Other,Lower class,Most people can be trusted
Quite happy,3,Female,27,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,10,Female,25,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,7,Female,35,Lower secondary education (ISCED 2),Homemaker not otherwise employed,Don't know,Other,Lower middle class,Need to be very careful
Very happy,10,Female,42,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,20,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,40,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,21,Primary education (ISCED 1),Full time (30 hours a week or more),Not a religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Male,56,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,28,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Upper class,Need to be very careful
Very happy,1,Male,40,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,25,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Most people can be trusted
Very happy,1,Male,27,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Very happy,1,Male,22,Post-secondary non-tertiary education (ISCED 4),Student,A religious person,Muslim,Upper class,Need to be very careful
Very happy,1,Male,40,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Upper class,Need to be very careful
Quite happy,1,Male,33,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),Don't know,Muslim,Lower middle class,Most people can be trusted
Quite happy,1,Male,21,Early childhood education (ISCED 0) / no education,Unemployed,A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,55,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,3,Male,71,Early childhood education (ISCED 0) / no education,Self employed,A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Male,45,Primary education (ISCED 1),Unemployed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,53,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,1,Male,18,Lower secondary education (ISCED 2),Part time (less than 30 hours a week),A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Male,38,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Not a religious person,Muslim,Lower middle class,Most people can be trusted
Quite happy,5,Female,32,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,19,Primary education (ISCED 1),Unemployed,A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Female,30,Primary education (ISCED 1),Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Very happy,4,Female,35,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Quite happy,1,Female,42,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Most people can be trusted
Very happy,1,Female,18,Primary education (ISCED 1),Homemaker not otherwise employed,A religious person,Muslim,Lower class,Need to be very careful
Very happy,1,Female,42,Primary education (ISCED 1),Student,A religious person,Muslim,Lower middle class,Most people can be trusted
Very happy,1,Female,26,Early childhood education (ISCED 0) / no education,Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Quite happy,6,Female,35,Primary education (ISCED 1),Unemployed,A religious person,Muslim,Working class,Most people can be trusted
Quite happy,2,Female,42,Upper secondary education (ISCED 3),Homemaker not otherwise employed,A religious person,Muslim,Working class,Need to be very careful
Very happy,10,Male,60,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Quite happy,1,Male,55,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,9,Male,20,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Quite happy,5,Male,30,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,40,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Working class,Most people can be trusted
Not at all happy,10,Male,50,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,37,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Quite happy,10,Male,40,Early childhood education (ISCED 0) / no education,Full time (30 hours a week or more),A religious person,Muslim,Lower class,Most people can be trusted
Very happy,2,Male,27,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,5,Male,27,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Quite happy,1,Male,23,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
Very happy,1,Male,40,Upper secondary education (ISCED 3),Full time (30 hours a week or more),A religious person,Muslim,Upper middle class,Need to be very careful
Very happy,1,Male,48,Lower secondary education (ISCED 2),Full time (30 hours a week or more),A religious person,Muslim,Lower middle class,Need to be very careful
Very happy,3,Male,50,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),A religious person,Muslim,Working class,Need to be very careful
